OTU	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
OTU1172	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	3	8
OTU1179	0	0	0	1	1	3	1	9	6	1	1	0	0	23	20	1	2	1
OTU1187	0	0	1	0	1	0	0	0	0	3	1	1	1	1	1	1	2	0
OTU1189	0	5	17	9	7	5	6	7	7	8	2	1	6	0	0	4	2	3
OTU1191	0	11	21	23	14	1	2	7	2	15	14	3	17	1	1	7	15	13
OTU1197	0	25	38	33	20	4	5	3	3	2	2	2	5	0	0	7	7	12
OTU1200	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0
OTU1201	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	3	2
OTU1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0
OTU1214	0	1	0	2	1	3	1	1	1	3	1	0	0	0	0	0	0	0
OTU1217	0	0	0	0	0	113	325	202	46	0	18	0	0	0	0	0	0	0
OTU1226	0	0	0	1	0	2	0	1	1	0	0	0	2	0	0	1	0	3
OTU1230	0	1	0	0	0	3	0	2	4	0	0	0	0	0	2	0	0	0
OTU1238	0	2	13	9	7	6	7	13	5	13	21	21	15	3	0	0	0	0
OTU1243	0	8	6	4	3	10	12	7	8	6	2	3	8	9	7	54	43	31
OTU1247	0	0	1	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0
OTU1249	0	0	0	2	0	2	0	0	0	1	0	2	4	0	0	0	0	0
OTU1257	0	0	0	0	0	10	1	0	0	0	0	1	0	1	2	2	7	2
OTU1258	0	0	1	0	0	0	7	0	0	1	0	1	1	1	0	2	0	0
OTU1263	0	2	1	3	1	0	2	13	1	7	2	3	3	1	2	13	21	35
OTU1264	0	3	6	0	0	2	0	2	1	3	3	1	1	0	0	5	4	4
OTU1269	0	0	0	0	1	41	120	113	84	0	1	1	2	0	0	0	0	1
OTU1275	0	0	0	1	0	3	2	0	0	1	0	0	0	4	1	0	0	0
OTU1280	0	2	6	5	2	6	5	4	19	5	3	4	2	1	5	0	0	0
OTU1282	0	0	0	3	0	0	0	1	3	1	0	1	0	1	1	0	0	0
OTU1287	0	2	1	6	1	0	0	0	0	6	8	5	3	2	4	0	0	0
OTU1292	0	6	6	2	5	0	2	4	2	39	23	21	37	0	0	59	51	53
OTU1294	0	0	0	0	0	0	2	4	1	0	0	0	0	1	0	13	10	12
OTU1296	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	5	7
OTU1297	0	0	4	7	8	0	0	0	0	14	8	10	3	2	0	1	0	0
OTU1300	0	0	0	3	0	0	0	0	5	0	2	0	3	0	0	0	2	0
OTU1302	0	0	0	2	2	0	1	0	0	1	0	0	2	1	0	2	0	3
OTU1304	0	0	0	0	0	0	0	0	7	0	0	2	8	13	10	25	29	29
OTU1305	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	43	37	31
OTU1309	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1311	0	0	0	0	0	3	1	8	10	0	0	0	1	0	0	1	0	1
OTU1325	440	22	0	0	20	0	45	25	5	91	27	30	13	11	11	20	21	36
OTU1337	13	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	9
OTU1340	0	0	0	0	0	6	4	5	14	0	1	0	0	0	0	0	0	0
OTU1343	0	0	0	0	0	4	8	5	5	2	0	2	2	8	6	6	8	5
OTU1347	0	4	3	6	3	1	0	2	2	29	8	17	15	2	3	3	1	4
OTU1350	0	0	2	0	0	1	0	0	1	2	3	0	5	1	1	16	9	18
OTU1351	0	6	17	12	7	0	0	0	0	4	8	3	1	1	1	0	1	0
OTU1355	0	1	2	1	3	0	0	1	1	3	0	0	0	3	0	0	0	1
OTU1360	0	8	5	12	6	6	0	8	9	16	9	9	10	22	19	3	2	4
OTU1364	0	0	0	0	0	0	3	0	2	0	0	4	0	2	0	3	0	0
OTU1372	0	0	0	1	0	5	0	2	2	0	0	0	0	0	0	0	0	1
OTU1374	12	1	0	2	3	0	1	0	3	6	17	8	9	1	0	1	1	0
OTU1383	0	0	0	1	0	3	1	0	1	0	1	0	0	0	0	1	1	2
OTU1389	0	0	0	0	0	0	0	0	0	0	2	0	8	1	0	2	0	0
OTU1394	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0
OTU1395	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	4	3	2
OTU1409	29	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
OTU1412	0	9	6	19	4	0	0	0	0	12	4	3	12	0	0	2	1	3
OTU1413	0	2	2	2	1	0	0	0	0	0	2	2	6	0	0	0	1	1
OTU1414	0	0	0	1	2	8	12	24	7	0	2	0	1	37	36	0	1	3
OTU1427	0	2	0	0	3	2	0	0	3	7	5	9	7	3	5	2	1	3
OTU1429	0	0	0	2	0	0	0	0	0	3	4	0	0	16	12	0	0	1
OTU1431	0	8	2	0	2	6	23	21	6	8	17	10	12	2	5	12	26	36
OTU1432	0	2	2	6	0	2	0	2	5	7	11	7	5	8	9	7	18	4
OTU1434	0	26	33	55	32	6	16	9	7	21	42	14	60	2	6	6	3	7
OTU1435	0	0	0	15	9	0	0	0	0	0	6	7	24	0	10	0	0	0
OTU1439	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
OTU1442	0	0	0	0	0	5	2	7	16	0	2	5	0	1	1	7	3	11
OTU1445	9	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
OTU1454	1	0	0	0	0	0	0	1	0	4	1	5	0	0	0	0	0	0
OTU1458	0	0	0	2	0	0	0	0	0	1	1	0	3	1	2	3	6	5
OTU1459	0	8	2	10	6	0	0	0	1	3	1	2	4	15	20	12	3	6
OTU1473	10	0	0	0	1	0	0	1	0	3	1	1	6	0	0	0	0	0
OTU1474	5	0	0	0	1	0	4	1	2	1	2	2	1	0	0	0	0	2
OTU1477	6	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
OTU1478	3	0	1	0	1	5	4	4	3	3	2	3	3	0	0	0	0	0
OTU1493	7	0	0	0	0	0	0	0	0	0	0	49	14	0	0	0	0	0
OTU1497	0	0	1	0	0	1	2	0	2	2	0	2	4	3	5	1	0	1
OTU1508	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	5	1	2
OTU1512	0	3	1	7	1	0	3	1	4	5	12	2	5	5	5	1	4	3
OTU1514	0	0	1	1	0	1	2	0	1	3	4	2	0	0	0	5	6	2
OTU1516	0	0	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0
OTU1521	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	1	0
OTU1523	0	2	4	1	0	1	0	0	1	1	1	0	1	3	1	0	0	2
OTU1524	0	0	0	0	0	0	0	0	0	0	3	2	9	0	0	0	0	0
OTU1526	0	0	0	0	0	4	13	9	10	0	0	0	0	0	2	0	0	0
OTU1532	0	0	0	2	0	4	4	4	1	3	1	0	4	1	0	1	1	0
OTU1533	0	1	0	0	0	1	2	1	0	2	0	6	2	0	0	0	0	0
OTU1540	0	0	3	0	0	4	2	1	0	0	2	17	0	1	1	0	0	0
OTU1551	0	2	1	4	4	0	0	0	0	102	52	43	101	11	0	1	5	6
OTU1552	0	0	0	0	0	2	2	0	2	0	4	1	1	4	1	3	0	0
OTU1561	0	1	0	0	1	2	2	4	1	0	3	3	0	2	6	28	17	18
OTU1562	0	1	2	2	1	0	0	0	0	3	0	0	3	0	1	3	1	2
OTU1566	0	0	4	0	2	4	4	15	16	0	1	0	9	0	0	12	6	3
OTU1567	0	1	7	2	1	1	1	0	0	1	1	0	0	1	0	0	1	0
OTU1570	0	2	4	3	7	4	1	0	0	8	5	8	5	2	3	6	6	9
OTU1571	0	0	0	0	0	3	1	7	1	0	0	0	0	0	0	0	0	0
OTU1572	0	0	0	0	0	7	5	9	8	0	1	2	0	0	0	0	0	0
OTU1573	0	1	0	0	0	3	2	1	0	0	0	0	0	0	4	1	0	1
OTU1575	0	11	17	6	6	1	3	8	3	5	11	0	5	3	0	15	4	1
OTU1580	0	0	0	5	4	0	10	14	3	0	20	0	6	0	0	0	0	4
OTU1582	0	6	13	7	4	4	5	4	1	4	0	3	3	1	3	1	0	7
OTU1583	0	9	4	13	105	0	0	0	0	4	0	6	10	0	0	0	0	0
OTU1584	0	6	4	7	6	0	0	1	0	5	3	0	4	2	1	0	0	0
OTU1592	0	0	0	0	0	0	0	0	1	0	2	1	0	2	1	2	5	8
OTU1594	0	0	0	0	0	6	4	5	11	0	1	0	2	0	1	1	0	2
OTU1599	0	0	0	0	0	2	0	11	5	0	3	0	0	0	0	0	0	0
OTU1601	0	0	3	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1602	0	0	0	0	0	1	2	2	2	0	0	4	1	0	0	0	1	0
OTU1607	0	0	2	0	0	3	1	6	4	8	0	0	0	0	0	0	0	2
OTU1611	0	0	0	0	0	2	2	2	0	0	0	4	0	0	0	0	0	2
OTU1612	0	16	26	22	1	0	1	2	2	6	3	7	1	0	0	3	4	1
OTU1614	0	0	0	1	0	6	4	1	4	0	1	0	1	3	5	5	3	1
OTU1615	0	6	1	0	0	0	1	2	1	0	1	0	0	0	0	0	1	1
OTU1616	0	0	0	0	0	0	0	0	3	0	0	0	5	0	3	0	6	0
OTU1629	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	2	2	5
OTU1638	0	3	4	3	1	0	1	0	1	2	1	2	2	5	3	10	7	7
OTU1639	0	0	0	0	2	0	1	0	0	0	2	0	6	3	3	6	8	4
OTU1640	0	8	8	8	8	65	124	123	69	11	9	4	6	11	6	137	100	146
OTU1641	4	24	33	17	22	5	11	7	11	20	12	12	9	0	2	76	114	37
OTU1642	0	477	596	559	366	41	83	61	48	116	80	62	100	20	23	90	72	90
OTU1643	0	0	1	1	0	19	19	21	16	2	2	3	1	0	0	0	3	4
OTU1644	0	2	6	8	5	23	22	24	26	4	6	7	4	8	6	28	47	68
OTU1646	0	8	25	7	14	26	55	52	60	13	17	11	9	2	4	82	64	71
OTU1648	0	11	19	17	2	3	10	9	16	17	25	7	5	18	24	12	4	14
OTU1649	0	339	422	360	196	29	39	32	39	67	43	30	71	10	9	22	38	39
OTU1650	0	4	11	11	11	8	3	12	8	9	8	5	10	15	22	18	17	21
OTU1652	0	760	1006	931	646	148	270	306	188	247	179	125	250	77	77	142	158	163
OTU1654	0	0	0	0	0	0	0	0	0	3	1	4	4	0	0	0	0	0
OTU1657	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0
OTU1659	0	5	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1662	0	19	24	21	8	1	0	0	0	14	0	6	16	0	0	0	4	0
OTU1663	0	0	0	0	0	0	0	0	0	13	0	0	10	0	0	0	0	0
OTU1668	0	1	0	0	0	7	4	9	10	0	1	3	2	1	0	0	0	1
OTU1670	0	0	0	0	0	0	0	0	0	5	5	0	2	0	0	0	0	0
OTU1672	0	4	5	0	0	1	4	3	3	3	0	0	1	9	3	0	2	0
OTU1673	0	6	12	11	6	0	0	1	0	0	0	3	0	0	0	0	2	0
