OTU	Acanthamunnopsis1	Acanthamunnopsis2	Acanthamunnopsis3	Acanthamunnopsis4	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Munneurycope1	Munneurycope2	Munneurycope3	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Poeobius4	Poeobius5	Poeobius6	Eusergestes1	Eusergestes2	Eusergestes3	Eusergestes4	Tomopteris1	Tomopteris2	Vampyroteuthis1	Vampyroteuthis2
Zotu1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
Zotu1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0
Zotu1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0
Zotu1066	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1067	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Zotu1068	0	0	0	0	24	0	0	0	0	29	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
Zotu107	0	0	0	52	0	0	0	0	0	0	0	2	0	683	206	0	0	0	0	0	0	0	433	0	74	365	0	37	0	0	0	0
Zotu1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
Zotu1071	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1072	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1074	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0
Zotu1075	0	0	0	0	0	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
Zotu1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
Zotu1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
Zotu1079	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1081	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1082	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1083	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1084	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1085	0	0	0	0	12	0	0	0	1	0	18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1086	0	0	0	0	0	0	46	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1087	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0
Zotu1089	0	0	0	0	0	0	0	0	0	0	0	0	21	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu109	0	0	0	0	327	0	0	0	20	105	690	48	36	85	65	0	0	76	0	0	0	12	0	0	0	2	3	0	0	0	0	0
