ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu269	0	0	0	0	0	0	0	28	3	0	0	0	0	0	0	0	149	0
Zotu1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
Zotu1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1983	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
Zotu813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu140	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	830	0
Zotu1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu263	0	0	0	0	0	0	0	19	0	0	0	0	0	209	0	0	1	0
Zotu273	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	180	37	0
Zotu301	0	14	0	0	0	0	0	0	9	0	0	0	0	0	0	0	130	0
Zotu434	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0
Zotu76	0	91	0	0	0	4	0	254	36	0	0	85	64	0	0	0	1019	14
Zotu805	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0
Zotu360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
Zotu1075	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
Zotu1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu137	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	189	443	0
Zotu1852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu290	0	27	0	0	0	0	0	11	0	165	0	0	0	0	0	0	95	0
Zotu308	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	15	0
Zotu442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0
Zotu528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
Zotu817	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0
Zotu873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
Zotu611	0	37	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Zotu450	0	0	0	53	0	0	0	0	0	0	0	0	0	2	0	0	96	0
Zotu978	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
Zotu1208	0	34	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1086	0	0	0	46	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu178	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu121	0	0	41	74	124	0	0	0	0	0	29	0	0	0	0	0	1	147
Zotu196	0	0	0	0	0	0	38	0	0	0	25	0	0	3	0	0	131	0
Zotu1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	12646	0	0	0	24	39	1827	305	0	0	172	32	0	0	0	32	9
Zotu1882	0	26	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Zotu1919	0	0	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Zotu477	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	48	0
Zotu116	0	12	0	0	0	2	0	0	0	0	20	0	0	0	0	0	856	103
Zotu1173	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0
Zotu1330	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
Zotu637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu770	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0
Zotu777	0	32	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0
